# domain	code	models	message
E	03008053	-	Laser module detected. Please install the right nozzle correctly to ensure proper Laser Module Mounting Calibration.
E	03008054	-	Please place the paper required for Print Then Cut.
E	03008055	-	The module mounted on the toolhead does not match the task. Please install the correct module.
E	03008057	-	The rotary attachment is disconnected. Please ensure it is properly installed and the cable is securely plugged in.
E	03008058	-	The rotary attachment is detected. Please remove it before continuing.
E	03008061	-	The mode of Airflow System failed to activate; check the air door condition.
E	03008062	-	The chamber temperature is too high. It may be due to high environmental temperature.
E	03008063	-	The chamber temperature is too high. Please open the top cover and front door to cool down.
E	03008064	-	The chamber temperature is too high. Please open the top cover and front door to cool down. (Open door detection for this print job will be set to 'Notification' level)
E	03008065	-	The temperature of the MC module is too high. Please check the Wiki for possible explanations.
E	0300806E	-	Abnormal nozzle temperature control detected; the heating module may be damaged. Please disconnect the power immediately and stop using the device.
E	0300806F	-	Abnormal temperature rise detected on the heatbed. The heating module may be damaged. Please power off the device immediately and stop using it.
E	03008071	-	The Toolhead Enhanced Cooling Fan module is malfunctioning.
E	0300807D	-	Fire Extinguisher not detected, the automatic extinguishing function will be unavailable.
E	0300807E	-	Fire Extinguisher not detected, the automatic extinguishing function will be unavailable.
E	0300807F	-	Fire Extinguisher is malfunctioning.
E	03008080	-	Fire extinguisher motor reset failed.
E	03008081	-	Fire extinguisher cylinder not installed. Please confirm on the extinguisher page.
E	03008082	-	The Fire Extinguisher Gas Cylinder is empty.
E	0300C012	-	Please heat the nozzle to above 170Â°C.
E	0300C056	-	A minor fire was detected inside the chamber, and the Auto Fire Extinguishing process has been aborted.
E	0300C070	-	The fire extinguisher has been detected and is ready for use after the laser module is connected.
E	05004001	-	Failed to connect to Bambu Cloud. Please check your network connection.
E	05004002	-	Unsupported print file path or name. Please resend the print job.
E	05004003	-	Printing stopped because the printer was unable to parse the file. Please resend your print job.
E	05004004	-	Device is busy and cannot start new task. Please wait for current task to complete before sending new task.
E	05004005	-	Print jobs are not allowed to be sent while updating firmware.
E	05004006	-	There is not enough free storage space for the print job. Restoring to factory settings can free up available space.
E	05004007	-	The device requires a repair upgrade, and printing is currently unavailable.
E	05004008	-	Starting printing failed; please power cycle the printer and resend the print job.
E	05004009	-	Print jobs are not allowed to be sent while updating logs.
E	0500400A	-	The file name is not supported. Please rename and restart the print job.
E	0500400B	-	There was a problem downloading a file. Please check your network connection and resend the print job.
E	0500400C	-	Please insert a MicroSD card and restart the print job.
E	0500400D	-	Please run a self-test and restart the print job.
E	0500400E	-	Printing was cancelled.
E	0500400F	-	AMS is initializing and cannot be upgraded at the moment. Please try again later.
E	05004010	-	AMS is drying and cannot be upgraded at the moment. Please try again later.
E	05004011	-	The printer is loading or unloading filament and cannot be upgraded at the moment. Please try again later.
E	05004012	-	The device is printing and cannot be upgraded at the moment. Please try again later.
E	05004013	-	AMS is in operation and cannot be upgraded at the moment. Please try again when it is idle.
E	05004014	-	Slicing for the print job failed. Please check your settings and restart the print job.
E	05004015	-	There is not enough free storage space for the print job. Please format or clear files from the MicroSD card to free up space.
E	05004016	-	The MicroSD Card is write-protected. Please replace the MicroSD Card.
E	05004017	-	Binding failed. Please retry or restart the printer and retry.
E	05004018	-	Binding configuration information parsing failed; please try again.
E	05004019	-	The printer has already been bound. Please unbind it and try again.
E	0500401A	-	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration before trying again.
E	0500401B	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	0500401C	-	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer support.
E	0500401D	-	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
E	0500401E	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	0500401F	-	Authorization timed out. Please make sure that your phone or PC has access to the internet, and ensure that the Bambu Studio/Bambu Handy APP is running in the foreground during the binding operation.
E	05004020	-	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05004021	-	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
E	05004022	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	05004023	-	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05004024	-	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration before you try again.
E	05004025	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	05004026	-	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05004027	-	Cloud access failed; this may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
E	05004028	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	05004029	-	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer support.
E	0500402A	-	Failed to connect to the router, which may be caused by wireless interference or being too far away from the router. Please try again or move the printer closer to the router and try again.
E	0500402B	-	Router connection failed due to incorrect password. Please check the password and try again.
E	0500402C	-	Failed to obtain IP address, which may be caused by wireless interference resulting in data transmission failure or the DHCP address pool of the router being full. Please move the printer closer to the router and try again. If the issue persists, please check router settings to see whether the IP addresses have been exhausted.
E	0500402D	-	System exception
E	0500402E	-	The system does not support the file system currently used by the MicroSD card. Please replace the MicroSD card or format it to FAT32.
E	0500402E	P2S,H2S,H2D	System does not support the file system currently used by the USB flash drive. Please replace or format the USB flash drive to FAT32.
E	0500402F	P2S,H2S,H2D	USB flash drive sector data is damaged; please format it. If it still cannot be recognized, please replace the USB flash drive.
E	0500402F	-	The MicroSD card sector data is damaged. Please use the SD card repair tool to repair or format it. If it still cannot be identified, please replace the MicroSD card.
E	05004030	-	The device is currently upgrading. Please try again when it is idle.
E	05004031	-	The accessory firmware does not match the printer. Please update it on the 'Firmware' page.
E	05004033	-	The AMS firmware does not match the printer. Please update it on the 'Firmware' page.
E	05004034	-	The Laser Module firmware does not match the printer. Please update it on the 'Firmware' page.
E	05004035	-	The BirdsEye Camera is malfunctioning. Please try restarting the device. If the issue persists after multiple restarts, check the camera connection status or contact customer support.
E	05004037	-	Your sliced file is not compatible with current printer model. This file can't be printed on this printer.
E	05004038	-	The nozzle diameter in sliced file is not consistent with the current nozzle setting. This file can't be printed.
E	05004039	-	The current task does not allow the installation of the laser/cutting module, and the task has been halted.
E	0500403A	-	The current temperature is too low. In order to protect you and your printer, printing tasks, moving an axis and other operations are disabled. Please move the printer to an environment above 10 degrees Celsius.
E	0500403B	-	Laser/cutting tasks cannot be initiated on the machine at the moment. Please use the computer software to start the task.
E	0500403C	-	The current nozzle setting does not match the slicing file. Continuing to print may affect print quality. It is recommended to re-slice before starting the print.
E	0500403D	-	The toolhead module is not set up. Please set it up before initiating the task.
E	0500403E	-	The current tool head does not support initialization.
E	0500403F	-	Failed to download print job; please check your network connection.
E	05004040	-	The printer has reached its power limit. Please connect a dedicated power adapter to this AMS to enable drying.
E	05004041	-	The AMS drying cannot be started during printing.
E	05004042	-	Due to power limitations, starting AMS drying will pause current operations such as nozzle heating and fan running. Do you want to proceed with drying?
E	05004043	-	Due to power limitations, only one AMS is allowed to use the device's power for drying.
E	05004044	-	BirdsEye Camera malfunction: please contact customer support.
E	05004045	-	Hotend check in progress. This operation is temporarily unavailable. Please wait.
E	05004050	-	Error detected on the print board.
E	05004052	-	Error detected on the hot end.
E	05004054	-	Error detected on the mat.
E	05004057	-	The filament selected in the slicer requires a harder nozzle. Please replace the nozzle or adjust the filament settings before reprinting.
E	0500405D	-	Laser module Serial Number error: unable to calibrate or make project.
E	05004065	-	The task requires a Laser Platform, but the current one is a Cutting Platform. Please replace it, measure the material thickness in the software, and then restart the task.
E	05004070	-	The laser or cutter module is connected, so the device cannot initiate a 3D printing task.
E	05004075	-	No Laser Platform was detected, which may affect thickness measurement accuracy. Please place the laser platform correctly and ensure the rear markers are not blocked, then restart the thickness measurement in the software before initiating the task.
E	05004076	-	Please place the Laser Platform correctly and ensure the rear markers are not blocked, then restart the thickness measurement in the software before initiating the task.
E	05004095	-	No print plate detected. Please place it correctly and recalibrate on the device.
E	05004097	-	The device cannot detect the Laser Module. Please reconnect the module cable or restart the printer.
E	05004098	-	The device cannot detect AMS A. Please reconnect the AMS cable or restart the printer.
E	05004099	-	The firmware of Cutting Module does not match the printer; the device cannot continue working. Please update it on the 'Firmware' page.
E	0500409A	-	The firmware of the Air Pump does not match the printer; the device cannot continue working. Please update it on the 'Firmware' page.
E	0500409B	-	The firmware of the Laser Module does not match the printer; the device cannot continue working. Please update it on the 'Firmware' page.
E	0500409D	-	The firmware of AMS A does not match the printer; the device cannot continue working. Please upgrade it on the 'Firmware' page.
E	0500409E	-	The device cannot detect the Cutting Module. Please reconnect the module cable or restart the printer.
E	0500409F	-	The device cannot detect the Air Pump. Please reconnect the module cable or restart the printer.
E	050040A0	-	The Rotary Attachment module is not detected. Please reconnect the cable or restart the printer.
E	050040A1	-	The Auto Fire Extinguishing System is not detected. Please reconnect the module cable or restart the printer.
E	050040A3	-	AMS(or AMS lite) A communication is abnormal. Please reconnect the module cable or restart the printer.
E	050040A4	-	The current firmware only supports 1 AMS Lite. Please remove all AMS units before reconnecting the supported AMS Lite device.
E	050040A5	-	The current firmware only supports AMS/AMS 2 Pro/AMS HT, with a maximum of 4 units. Please remove all AMS units before reconnecting the supported one.
E	050040A6	-	File download failed due to missing certificates. Please check the Fleet Hub certificate configuration and restart the printer before trying again
E	050040A8	-	The device firmware requires a repair upgrade, and the current operation cannot be performed. Please upgrade it on the "Firmware" page.
E	050040C0	-	Communication error detected with AMS, AMS Lite or AMS HT. Please reconnect the module cable or restart the printer when it is idle.
E	05008013	-	The print file is not available. Please check to see if the storage media has been removed.
E	05008030	-	
E	05008036	-	Your sliced file is not consistent with the current printer model. Continue?
E	0500803C	-	The current nozzle setting does not match the slicing file. Continuing to print may affect print quality. It is recommended to re-slice before starting the print.
E	05008040	-	Toolhead front cover is detached. Moving the toolhead may damage the printer. Do you want to continue?
E	05008041	-	The filament in hotend is too cold. Extrusion may damage the extruder. Still feeding in/out the filament?
E	05008048	-	The module on the toolhead is not calibrated. Please cancel the task to perform calibration or switch to a calibrated module.
E	05008051	-	Detected build plate is not the same as the Gcode file. Please adjust slicer settings or use the correct plate.
E	05008053	-	Nozzle mismatch was detected during printing. Please initiate the print after re-slicing, or continue printing after replacing with the correct nozzle. Caution: the hotend temperature is high.
E	05008053	H2D	The left and right nozzle is not matched with slicing file. Please initiate the print after re-slicing, or continue printing after replacing with the correct nozzle. Caution: the hotend temperature is high.
E	05008055	-	Laser module is installed, but a Cutting Platform is detected. Please place a Laser Platform and perform laser calibration.
E	05008056	-	Cutting module is installed, but the laser platform is detected. Please place the cutting platform for calibration.
E	05008057	-	The filament hardness selected in the slicer exceeds the current nozzle hardness. Continuing the print may cause nozzle wear, leading to leakage and unstable flow. Please proceed with caution.
E	05008058	-	Please place the light grip cutting mat correctly and ensure the marker is exposed.
E	05008059	-	Cutting platform base is not correctly aligned. Please ensure that the four corners of the platform are aligned with the heatbed.
E	0500805A	-	Please place the cutting mat on cutting protection base.
E	0500805B	-	The cutting mat type is unknown; please replace it with the correct cutting mat.
E	0500805C	-	The grip cutting mat type does not match; please place a LightGrip cutting mat.
E	0500805E	-	Cutting module Serial Number error: unable to calibrate or make project.
E	05008060	-	The current module on toolhead does not meet requirements. Please replace the module as per the on-screen instructions.
E	05008061	-	No print plate detected. Please make sure it is placed correctly.
E	05008062	-	The print plate marker was not detected. Please confirm the print plate is correctly positioned on the heatbed with all four corners aligned, and the marker is visible. If strong light is shining on the print sheet, consider closing the front door and blocking external light sources.
E	05008063	-	The platform is not detected during calibration; please make sure the Laser Platform is properly placed.
E	05008064	-	Please place the Laser Platform correctly and ensure the rear markers are not blocked for laser calibration.
E	05008066	-	The task requires a Cutting Platform, but the current one is a Laser Platform. Please replace it with a Cutting Platform (Cutting Protection Base + LightGrip cutting mat).
E	05008067	-	Please place a LightGrip cutting mat on the cutting protection base.
E	05008068	-	Please place the strong grip cutting mat correctly and ensure the marker is exposed.
E	05008069	-	Unable to recognize the left and right hotends. They might be third party hotends, or the hotend marks may be dirty. Please manually set the hotend types.
E	0500806A	-	Unable to recognize the left and right hotends. They might be third party hotends, or the hotend marks may be dirty. Please set hotend types on printer screen before next print.
E	0500806B	-	Quick-release Lever is not locked. Please press down the external toolhead module to ensure it is properly seated, then push down the level to lock it in place.
E	0500806C	-	Please place the cutting platform correctly and ensure the marker is exposed.
E	0500806D	-	Material not detected. Please confirm placement and continue.
E	0500806E	-	Foreign objects detected on heatbed; please check and clean up the heatbed.
E	0500806F	-	The grip cutting mat type does not match; please place a StrongGrip cutting mat.
E	05008071	-	No cutting platform was detected. Please confirm that it has been correctly placed.
E	05008072	-	Live View camera is blocked
E	05008073	-	Heatbed limit block is obstructed or contaminated. Please clean and ensure the limit block is visible, otherwise platform position offset detection may be inaccurate.
E	05008074	-	The Laser Platform is offset. Please ensure that the four corners of the platform are aligned with the heatbed, and the marker is not obstructed.
E	05008077	-	The visual marker was not detected. Please ensure the paper is properly placed.
E	05008078	-	Current material does not match the sliced file settings. Please load the correct material and ensure the QR code on the material is not damaged or dirty.
E	05008079	-	Please place the Laser Test Material (350g paperboard) and position support strips underneath to prevent material warping.
E	0500807A	-	The foreign object detection function is not working. You can continue the task or check the assistant for troubleshooting.
E	0500807B	-	Please place the cutting platform (cutting protection base + LightGrip cutting mat).
E	0500807C	-	Please place the cutting platform (cutting protection base + StrongGrip cutting mat).
E	0500807D	-	This task requires a Cutting Platform, but the current one is a Laser Platform. Please replace it with a Cutting Platform (Cutting Protection Base + StrongGrip Cutting Mat).
E	0500807E	-	Please place a StrongGrip cutting mat on the cutting protection base.
E	05008080	-	The left and right hotends are not installed.
E	05008081	-	The left and right hotends are not installed.
E	05008082	-	Please remove the protective film on the Opaque Glossy Acrylic before processing
E	05008083	-	Material is not allowed in Mounting Calibration. Please remove the material from the platform.
E	05008084	-	The Live View Camera is dirty; please clean it and continue.
E	05008085	-	Toolhead camera is obstructed
E	05008086	-	Toolhead Camera is dirty, which affects the AI function; please clean the lens surface.
E	05008087	-	BirdsEye camera is obstructed
E	05008088	-	The Birdseye Camera is dirty
E	05008089	-	Task paused due to Presence Check failed. Please check the printer to continue.
E	0500808A	-	The BirdsEye Camera is installed offset. Please refer to the assistant to reinstall it.
E	0500808B	-	The BirdsEye Camera setup failed. Please remove all objects and the mat on the heatbed to ensure the heatbed markers are visible. Meanwhile, please ensure the BirdsEye Camera is installed correctly and remove any obstructions that may block the camera's view.
E	0500808C	-	Detected build plate offset. Please align the build plate with the heatbed, and then continue.
E	0500808D	-	The Cutting Module offset calibration failed, which may result in inaccurate cuts. Please ensure the cutting material is properly positioned and check whether the cutting blade tip is worn.
E	0500808E	-	BirdsEye Camera initialization failed. The toolhead camera did not detect the Heatbed features. Please clean the Heatbed, remove all objects and pads, and ensure the bed markings are visible. Check Assistant for a detailed solution.
E	0500808F	-	Nozzle camera lens is dirty, affecting AI monitoring. Clean the lens with a non-woven cloth and a small amount of alcohol. Beware of hotend heat; wait for it to cool before handling.
E	05008090	-	Please attach the 80g White Printing Paper to the center area of the platform.
E	05008091	-	The Cutting Module offset calibration failed, which may result in inaccurate cuts. Please ensure the 80g white printer paper(letter paper thickness) is properly positioned and check whether the cutting blade tip is worn.
E	05008092	-	Toolhead Camera initialization failed. This print can still continue, but some AI functions will be disabled. If you encounter this issue again after restarting, please contact customer support.
E	05008093	-	The nozzle silicone sleeve is not installed; there is a risk of temperature control failure. Please install it correctly and try again.
E	0500809B	-	Build plate not properly positioned, may collide with the waste chute. Please reposition build plate and align with heatbed.
E	050080A0	-	The visual encoder board was not detected. Please check if the board is properly placed and aligned at all four corners, and ensure the positioning markings are clear and free from wear.
E	0500C010	-	MicroSD Card read/write exception: please reinsert or replace the MicroSD Card.
E	0500C010	P2S,H2S,H2D	USB flash drive read-write exception; please reinsert or replace it.
E	0500C011	-	
E	0500C011	P1P,P1S	SD card performance has degraded, which may affect printing, logging, and video. Try formatting it. If issues persist, please replace the SD card.
E	0500C032	-	Laser/Cutting module connected to the toolhead. The drying process has been automatically stopped.
E	0500C036	-	This is a printing task. Please detach the Laser/Cutting Module from the Toolhead.
E	0500C04A	-	AMS is calibrating, reading RFID or loading/unloading material, unable to initiate drying process, please wait.
E	0500C04B	-	Filament in AMS outlet, the high drying temperature may cause AMS blockage. Drying cannot be started. Please unload the filament first.
E	0500C04C	-	The AMS is currently drying. Please do not start the process again.
E	0500C04D	-	The device is currently in laser or cutting mode and cannot start drying. Please do not initiate the drying process.
E	0500C04E	-	Please connect a power adapter to the AMS-HT before starting the drying process.
E	0500C04F	-	The AMS is drying and cannot perform this operation at the moment.
E	0500C07F	-	Device is busy and cannot perform this operation. To proceed, please pause or stop the current task.
E	05014017	-	Binding failed. Please retry or restart the printer and retry.
E	05014018	-	Binding configuration information parsing failed; please try again.
E	05014019	-	The printer has already been bound. Please unbind it and try again.
E	0501401A	-	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration before trying again.
E	0501401B	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	0501401C	-	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer support.
E	0501401D	-	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
E	0501401E	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	0501401F	-	Authorization timed out. Please make sure that your phone or PC has access to the internet, and ensure that the Bambu Studio/Bambu Handy APP is running in the foreground during the binding operation.
E	05014020	-	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05014021	-	Cloud access failed, which may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
E	05014022	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	05014023	-	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05014024	-	Cloud access failed. Possible reasons include network instability caused by interference, inability to access the internet, or router firewall configuration restrictions. You can try moving the printer closer to the router or checking the router configuration before you try again.
E	05014025	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	05014026	-	Cloud access rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05014027	-	Cloud access failed; this may be caused by network instability due to interference. You can try moving the printer closer to the router before you try again.
E	05014028	-	Cloud response is invalid. If you have tried multiple times and are still failing, please contact customer support.
E	05014029	-	Cloud access is rejected. If you have tried multiple times and are still failing, please contact customer support.
E	05014031	-	Device discovery binding is in progress, and the QR code cannot be displayed on the screen. You can wait for the binding to finish or abort the device discovery binding process in the APP/Studio and retry scanning the QR code on the screen for binding.
E	05014032	-	QR code binding is in progress, so device discovery binding cannot be performed. You can scan the QR code on the screen for binding or exit the QR code display page on screen and try device discovery binding.
E	05014033	-	Your APP region does not match with your printer; please download the APP in the corresponding region and register your account again.
E	05014034	-	The slicing progress has not been updated for a long time, and the printing task has exited. Please confirm the parameters and reinitiate printing.
E	05014035	-	The device is in the process of binding and cannot respond to new binding requests.
E	05014038	-	The regional settings do not match the printer; please check the printer's regional settings.
E	05014039	-	Device login has expired; please try to bind again.
E	05014098	-	The device cannot detect AMS B. Please reconnect the AMS cable or restart the printer.
E	0501409D	-	The firmware of AMS B does not match the printer; the device cannot continue working. Please update it on the 'Firmware' page.
E	050140A3	-	AMS(or AMS lite) B communication is abnormal. Please reconnect the module cable or restart the printer.
E	05024001	-	Current filament will be used in this print job. Settings cannot be changed.
E	05024002	-	Please go to â€œSettings > Calibrationâ€ to run the Motion Accuracy Enhancement Calibration before turning on Motion Accuracy Enhancement mode.
E	05024003	-	The printer is currently printing and the motion accuracy enhancement feature cannot be turned on or off.
E	05024004	-	Some features are not supported by the current device. Please check the Studio feature settings or update the firmware to the latest version.
E	05024005	-	The AMS has not been calibrated yet, so printing cannot be initiated.
E	05024006	-	Unknown module detected; please try updating the firmware to the latest version.
E	05024007	-	
E	05024008	-	
E	05024009	-	
E	0502400A	-	
E	0502400B	-	
E	0502400C	-	
E	0502400D	-	Failed to start a new task: filament loading/unloading not completed.
E	0502400E	-	Failed to start a new task: The nozzle cold pull was not completed.
E	05024013	-	This device is not compatible with the 40W laser module. Please replace it with a 10W laser module or remove it.
E	05024027	-	The current AMS does not support drying while printing. Please connect to the network and update the AMS firmware on the “Firmware” page.
E	0502402D	-	Printing stopped because the printer was unable to parse the 3mf file. Please resend your print job.
E	0502402E	-	Printing stopped because the printer was unable to parse the 3mf file. Please resend your print job.
E	0502402F	-	Printing stopped because the printer was unable to parse the 3mf file. Please resend your print job.
E	05024030	-	Failed to parse the G-code file. The task has been stopped. Please restart the G-code task.
E	05024098	-	The device cannot detect AMS C. Please reconnect the AMS cable or restart the printer.
E	0502409D	-	The firmware of AMS C does not match the printer; the device cannot continue working. Please upgrade it on the 'Firmware' page.
E	050240A3	-	AMS(or AMS lite) C communication is abnormal. Please reconnect the module cable or restart the printer.
E	0502C00F	-	The device is busy and cannot perform nozzle identification.
E	0502C010	-	Due to printer power limitations, printing, calibration, controls and other actions cannot be performed during AMS drying. Please stop the drying process before proceeding with any other operation.
E	0502C011	-	Currently in 2D production mode. Please continue the operation on the printer
E	0502C012	-	The task cannot be paused.
E	0502C014	-	The AMS Remaining Filament Estimation is enabled by default and cannot be disabled.
E	0502C024	-	The flow dynamic calibration records have exceeded the storage limit. Please delete some historical records in the slicer software before adding new calibration data.
E	0502C026	-	The device is busy with the current task and cannot perform this operation for now. Please try again later.
E	0502C028	-	The filament currently loaded in the extruder does not support manual feeding.
E	0502C031	-	Please check and remove any printed parts or debris from the heatbed surface before continuing the cold pull.
E	0502C032	-	Please check and remove any printed parts or debris from the heatbed surface and underside before continuing the drying process.
E	05034098	-	The device cannot detect AMS D. Please reconnect the AMS cable or restart the printer.
